年,月,日,時（UTC）,台風番号,台風名,階級,緯度,経度,中心気圧,最大風速,50KT長径方向,50KT長径,50KT短径,30KT長径方向,30KT長径,30KT短径,上陸
2001,5,9,12,0101,CIMARON,2,11.8,120.0,1004,0,0,0,0,0,0,0,0
2001,5,9,18,0101,CIMARON,2,12.3,119.6,1004,0,0,0,0,0,0,0,0
2001,5,10,0,0101,CIMARON,2,13.1,119.5,1004,0,0,0,0,0,0,0,0
2001,5,10,6,0101,CIMARON,2,14.1,119.3,1004,0,0,0,0,0,0,0,0
2001,5,10,12,0101,CIMARON,2,15.3,119.1,1002,0,0,0,0,0,0,0,0
2001,5,10,18,0101,CIMARON,2,16.2,119.1,1002,0,0,0,0,0,0,0,0
2001,5,11,0,0101,CIMARON,3,17.1,119.1,1000,35,0,0,0,9,70,70,0
2001,5,11,6,0101,CIMARON,3,17.6,119.1,998,35,0,0,0,9,100,100,0
2001,5,11,12,0101,CIMARON,3,18.0,119.2,998,35,0,0,0,9,100,100,0
2001,5,11,18,0101,CIMARON,3,18.4,119.4,996,40,0,0,0,9,110,110,0
2001,5,12,0,0101,CIMARON,3,18.9,119.9,994,40,0,0,0,2,170,130,0
2001,5,12,6,0101,CIMARON,3,19.5,120.5,994,40,0,0,0,2,170,130,0
2001,5,12,12,0101,CIMARON,3,20.0,121.0,994,40,0,0,0,2,170,130,0
2001,5,12,15,0101,CIMARON,3,20.2,121.1,992,45,0,0,0,2,170,130,0
2001,5,12,18,0101,CIMARON,3,20.4,121.3,990,45,0,0,0,2,190,140,0
2001,5,12,21,0101,CIMARON,3,20.7,121.5,990,45,0,0,0,2,190,140,0
2001,5,13,0,0101,CIMARON,4,20.9,121.7,985,50,0,0,0,2,200,150,0
2001,5,13,3,0101,CIMARON,4,21.6,122.2,985,50,0,0,0,2,200,150,0
2001,5,13,6,0101,CIMARON,3,22.1,122.6,990,45,0,0,0,2,200,150,0
2001,5,13,9,0101,CIMARON,3,22.6,123.2,990,45,0,0,0,2,200,150,0
2001,5,13,12,0101,CIMARON,3,23.1,123.9,990,45,0,0,0,2,200,150,0
2001,5,13,15,0101,CIMARON,3,23.6,124.5,990,45,0,0,0,2,200,150,0
