日時（JST）,日時（UTC）,台風番号,台風名,階級,緯度,経度,中心気圧,最大風速,50KT長径方向,50KT長径,50KT短径,30KT長径方向,30KT長径,30KT短径,上陸
2001-05-09 21:00:00,2001-05-09 12:00:00,101,CIMARON,2,11.8,120.0,1004,0,0,0,0,0,0,0,0
2001-05-10 03:00:00,2001-05-09 18:00:00,101,CIMARON,2,12.3,119.6,1004,0,0,0,0,0,0,0,0
2001-05-10 09:00:00,2001-05-10 00:00:00,101,CIMARON,2,13.1,119.5,1004,0,0,0,0,0,0,0,0
2001-05-10 15:00:00,2001-05-10 06:00:00,101,CIMARON,2,14.1,119.3,1004,0,0,0,0,0,0,0,0
2001-05-10 21:00:00,2001-05-10 12:00:00,101,CIMARON,2,15.3,119.1,1002,0,0,0,0,0,0,0,0
2001-05-11 03:00:00,2001-05-10 18:00:00,101,CIMARON,2,16.2,119.1,1002,0,0,0,0,0,0,0,0
2001-05-11 09:00:00,2001-05-11 00:00:00,101,CIMARON,3,17.1,119.1,1000,35,0,0,0,9,70,70,0
2001-05-11 15:00:00,2001-05-11 06:00:00,101,CIMARON,3,17.6,119.1,998,35,0,0,0,9,100,100,0
2001-05-11 21:00:00,2001-05-11 12:00:00,101,CIMARON,3,18.0,119.2,998,35,0,0,0,9,100,100,0
2001-05-12 03:00:00,2001-05-11 18:00:00,101,CIMARON,3,18.4,119.4,996,40,0,0,0,9,110,110,0
2001-05-12 09:00:00,2001-05-12 00:00:00,101,CIMARON,3,18.9,119.9,994,40,0,0,0,2,170,130,0
2001-05-12 15:00:00,2001-05-12 06:00:00,101,CIMARON,3,19.5,120.5,994,40,0,0,0,2,170,130,0
2001-05-12 21:00:00,2001-05-12 12:00:00,101,CIMARON,3,20.0,121.0,994,40,0,0,0,2,170,130,0
2001-05-13 00:00:00,2001-05-12 15:00:00,101,CIMARON,3,20.2,121.1,992,45,0,0,0,2,170,130,0
2001-05-13 03:00:00,2001-05-12 18:00:00,101,CIMARON,3,20.4,121.3,990,45,0,0,0,2,190,140,0
2001-05-13 06:00:00,2001-05-12 21:00:00,101,CIMARON,3,20.7,121.5,990,45,0,0,0,2,190,140,0
2001-05-13 09:00:00,2001-05-13 00:00:00,101,CIMARON,4,20.9,121.7,985,50,0,0,0,2,200,150,0
2001-05-13 12:00:00,2001-05-13 03:00:00,101,CIMARON,4,21.6,122.2,985,50,0,0,0,2,200,150,0
2001-05-13 15:00:00,2001-05-13 06:00:00,101,CIMARON,3,22.1,122.6,990,45,0,0,0,2,200,150,0
2001-05-13 18:00:00,2001-05-13 09:00:00,101,CIMARON,3,22.6,123.2,990,45,0,0,0,2,200,150,0
2001-05-13 21:00:00,2001-05-13 12:00:00,101,CIMARON,3,23.1,123.9,990,45,0,0,0,2,200,150,0
2001-05-14 00:00:00,2001-05-13 15:00:00,101,CIMARON,3,23.6,124.5,990,45,0,0,0,2,200,150,0
2001-05-14 03:00:00,2001-05-13 18:00:00,101,CIMARON,3,24.4,125.2,990,45,0,0,0,2,170,130,0
2001-05-14 06:00:00,2001-05-13 21:00:00,101,CIMARON,3,25.0,125.8,990,45,0,0,0,2,170,130,0
2001-05-14 09:00:00,2001-05-14 00:00:00,101,CIMARON,3,25.6,126.5,990,45,0,0,0,2,170,130,0
2001-05-14 12:00:00,2001-05-14 03:00:00,101,CIMARON,3,26.2,127.2,992,45,0,0,0,2,170,130,0
2001-05-14 15:00:00,2001-05-14 06:00:00,101,CIMARON,3,26.7,128.0,996,40,0,0,0,2,170,130,0
2001-05-14 18:00:00,2001-05-14 09:00:00,101,CIMARON,3,27.2,128.4,998,35,0,0,0,2,170,130,0
2001-05-14 21:00:00,2001-05-14 12:00:00,101,CIMARON,6,27.2,129.1,1000,0,0,0,0,0,0,0,0
2001-05-15 03:00:00,2001-05-14 18:00:00,101,CIMARON,6,27.4,130.7,1000,0,0,0,0,0,0,0,0
2001-05-15 09:00:00,2001-05-15 00:00:00,101,CIMARON,6,27.4,131.9,1002,0,0,0,0,0,0,0,0
2001-05-15 15:00:00,2001-05-15 06:00:00,101,CIMARON,6,27.7,133.5,1002,0,0,0,0,0,0,0,0
2001-05-15 21:00:00,2001-05-15 12:00:00,101,CIMARON,6,27.7,134.6,1004,0,0,0,0,0,0,0,0
2001-06-20 03:00:00,2001-06-19 18:00:00,102,CHEBI,2,11.9,136.4,1004,0,0,0,0,0,0,0,0
2001-06-20 09:00:00,2001-06-20 00:00:00,102,CHEBI,2,12.1,134.9,1002,0,0,0,0,0,0,0,0
2001-06-20 15:00:00,2001-06-20 06:00:00,102,CHEBI,3,13.0,133.4,996,35,0,0,0,9,80,80,0
2001-06-20 21:00:00,2001-06-20 12:00:00,102,CHEBI,3,13.7,131.4,996,35,0,0,0,9,80,80,0
2001-06-21 03:00:00,2001-06-20 18:00:00,102,CHEBI,3,14.0,129.1,992,40,0,0,0,9,100,100,0
2001-06-21 09:00:00,2001-06-21 00:00:00,102,CHEBI,3,14.3,127.7,990,45,0,0,0,2,180,120,0
2001-06-21 15:00:00,2001-06-21 06:00:00,102,CHEBI,3,15.2,127.2,990,45,0,0,0,2,180,120,0
2001-06-21 21:00:00,2001-06-21 12:00:00,102,CHEBI,4,16.0,125.9,985,50,0,0,0,2,200,150,0
2001-06-22 03:00:00,2001-06-21 18:00:00,102,CHEBI,4,17.2,124.8,980,50,0,0,0,2,200,150,0
2001-06-22 09:00:00,2001-06-22 00:00:00,102,CHEBI,4,18.4,123.6,980,55,9,40,40,2,250,180,0
2001-06-22 15:00:00,2001-06-22 06:00:00,102,CHEBI,4,19.5,122.2,970,60,9,60,60,2,250,180,0
2001-06-22 21:00:00,2001-06-22 12:00:00,102,CHEBI,4,20.5,121.2,970,60,9,60,60,2,250,180,0
2001-06-23 03:00:00,2001-06-22 18:00:00,102,CHEBI,5,21.0,119.9,965,65,9,70,70,2,250,180,0
2001-06-23 09:00:00,2001-06-23 00:00:00,102,CHEBI,5,22.2,119.5,965,65,9,75,75,2,250,180,0
